,Posted.On,BHK,Size,Floor,Area.Type,Area.Locality,City,Furnishing.Status,Tenant.Preferred,Bathroom,Point.of.Contact,Rent,Abby,Adamgosmire,Addy,Akin_Mitu,Burkhalter,Daria,DeYoung,Lucas_Nick,Ternes,Trey,Will
190,5/6/2022,2,200,1 out of 1,Carpet Area,railway employees housing colony Bollarum,Hyderabad,Unfurnished,Bachelors,2,Contact Owner,4.079181246,4.022733458,4.146128036,3.892350004,3.94270924,3.960728036,3.950781106,3.939244462,3.957690441,3.974203736,3.960504216,4.239370084
191,6/20/2022,2,500,2 out of 5,Super Area,"Meenakshi Layout, Kengeri",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3.954242509,4.01998863,3.954242509,3.991076064,3.986617727,4.018454804,3.993740768,4.009424378,3.930421618,3.989271553,4.014701686,4.036173565
192,6/21/2022,2,660,2 out of 3,Super Area,Electronic City,Bangalore,Unfurnished,Bachelors,1,Contact Owner,3.77815125,4.120359636,4,4.008104176,3.981827879,4.019759256,3.980116309,4.02168969,3.969715581,3.994943296,4.022984888,4.074599934
193,5/6/2022,3,1780,1 out of 5,Super Area,"Kamaraj Nagar-Thiruvanmiyur, E Coast Road",Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,4.653212514,4.488194151,4.330413773,4.350363757,4.495753787,4.471557735,4.442677911,4.449878614,4.341013169,4.482307501,4.456852932,4.441600914
194,5/29/2022,2,685,Ground out of 2,Super Area,Kolathur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,4,4.063157372,4.204119983,4.06086625,4.060280503,4.047899301,4.065956604,4.046362593,4.265666894,4.066458934,4.040811344,4.071000736
195,7/7/2022,1,305,6 out of 24,Carpet Area,Kandivali West,Mumbai,Unfurnished,Bachelors,1,Contact Agent,4.146128036,4.321988584,4.06069784,4.393628236,4.404174307,4.387820125,4.320188056,4.452517506,4.253680782,4.416660851,4.466480722,4.432748922
196,5/4/2022,2,650,3 out of 4,Carpet Area,Freedom Fighters Enclave,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,4.204119983,4.076157535,4.193124598,4.115924855,4.133289278,4.154290467,4.145785979,4.145507575,4.223918074,4.192255978,4.159396844,4.1063175
197,7/6/2022,1,600,1 out of 4,Carpet Area,"Himayath Nagar, NH 7",Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Agent,3.954242509,3.954825514,3.929418926,4.075653057,4.024747306,3.992524931,4.021252964,4.045073912,4.153604329,4.05542642,4.03074915,4.229536104
198,6/30/2022,1,390,Ground out of 4,Carpet Area,Mira Road East,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent,4.041392685,4.389879932,4.096910013,4.319631967,4.460348265,4.442112393,4.388506699,4.442720148,4.205799505,4.460734295,4.439266519,4.528622459
199,6/28/2022,2,1000,5 out of 9,Carpet Area,Breach Candy,Mumbai,Furnished,Bachelors/Family,3,Contact Agent,5.230448921,4.703377753,5.041392685,4.824660194,4.912682905,4.957170727,4.918862189,4.885500398,5.185037494,4.85349412,4.892366926,4.783369889
200,6/26/2022,2,850,1 out of 4,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,4.204119983,4.11811967,4.041392685,4.212941717,4.102945106,4.11421576,4.062692242,4.119621025,4.179540754,4.101979994,4.128029856,4.342997595
201,7/10/2022,3,1700,7 out of 15,Carpet Area,Sholinganallur,Chennai,Furnished,Bachelors,3,Contact Agent,4.69019608,4.610104911,4.330413773,4.664563195,4.727986427,4.778160109,4.692085402,4.748857542,4.673242455,4.73879915,4.7491295,4.589293119
202,5/14/2022,2,500,3 out of 3,Super Area,Vinod Nagar East,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,4,4.085342615,4.113943352,3.982123703,4.066967089,4.077066396,4.075551262,4.092743972,3.806958356,4.103349878,4.100089856,4.239370084
203,6/3/2022,2,600,Ground out of 2,Super Area,Howrah,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,3.903089987,3.918222519,3.977723605,3.952027527,3.885219608,3.892839219,3.893961875,3.891831608,3.937742284,3.88447542,3.885546852,4.022459884
204,6/16/2022,1,300,1 out of 3,Carpet Area,Ashok Nagar,Delhi,Furnished,Bachelors,1,Contact Owner,3.698970004,4.128350703,3.875061263,3.884630149,4.014477669,4.071842901,4.004251182,4.063401482,3.99345901,4.087873512,4.070633296,3.971676807
205,5/12/2022,6,3400,Ground out of 2,Super Area,Rampally,Hyderabad,Unfurnished,Bachelors/Family,7,Contact Owner,4.544068044,4.471580219,5.549003262,4.582030906,4.910009591,4.892623927,4.669404523,5.213077087,4.927891443,5.20881912,5.209053909,4.872281884
206,5/5/2022,3,1159,4 out of 5,Super Area,Electronic City,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,4.322219295,4.281393114,4.298853076,4.259466353,4.253954629,4.271704836,4.242554955,4.258689208,4.301639351,4.259627032,4.263125206,4.272493132
207,5/5/2022,1,380,19 out of 19,Carpet Area,sra,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,4.176091259,4.268017655,4.079181246,4.264713014,4.254611406,4.24796521,4.179251523,4.31609493,4.313080096,4.3330511,4.304175964,4.239370084
208,6/21/2022,2,550,Ground out of 2,Super Area,"Kalabagan, Tollygunge",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3.903089987,3.879978606,3.977723605,3.940557335,3.836386237,3.850883129,3.850194377,3.840831801,3.934670988,3.810332923,3.833597297,3.965409022
209,6/25/2022,2,663,25 out of 43,Carpet Area,"Wadhwa Atmosphere, Mulund West",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,4.633468456,4.628439319,4.439332694,4.721326206,4.646728976,4.667073135,4.62807568,4.710725916,4.692729946,4.728053029,4.734169905,4.611721695
210,6/27/2022,3,1400,4 out of 14,Super Area,"Hoodi, Hoodi",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,4.430864843,4.384122756,4.51851394,4.378005271,4.416055982,4.490058051,4.376583991,4.411015819,4.399953322,4.35936357,4.431481554,4.388872407
211,4/29/2022,2,50,2 out of 4,Carpet Area,Dwarka Sector 14,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.176091259,4.064842106,4.113943352,3.769839313,4.197889303,4.091199756,4.083417737,4.082023862,4.227113814,4.083338097,4.091338969,3.990814075
212,5/27/2022,2,600,2 out of 3,Super Area,Ullal Main Road,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3.903089987,4.00642687,3.977723605,3.995540003,4.007590834,4.009036976,4.009982884,4.028440823,4.021851486,4.021493157,4.032222734,4.064848018
213,6/14/2022,4,2990,3 out of 13,Super Area,Gachibowli,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,4.77815125,4.597126772,5.322219295,4.51013518,4.748725031,4.759363079,4.628713363,4.728749143,4.759102012,4.75122841,4.74662805,4.597161162
214,5/8/2022,1,500,1 out of 4,Carpet Area,Kadugodi Pattalamma Layout,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,4,4.054835574,3.954242509,3.882664913,3.892356126,3.935859015,3.912616842,3.936343409,3.986325028,3.980386137,3.943481745,3.942172487
215,5/14/2022,1,500,2 out of 3,Super Area,Hyderguda,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Agent,3.875061263,3.881111051,3.903089987,4.049085953,4.0037742,3.976084657,4.004884623,4.009989732,4.061479733,4.009743098,4.008395231,4.238261729
216,7/6/2022,4,3133,14 out of 14,Carpet Area,"Vittal Rao Nagar, Hitech City",Hyderabad,Furnished,Family,5,Contact Agent,5.113943352,4.559287003,5.462397998,4.863616437,5.079088361,5.201540855,5.025175653,5.166983305,5.058168687,5.188949832,5.14188342,4.239370084
217,7/10/2022,3,2700,23 out of 30,Carpet Area,Gachibowli,Hyderabad,Furnished,Bachelors,3,Contact Agent,4.977723605,4.696579475,5.301029996,4.773186022,4.883842835,4.910558951,4.820168531,4.952653941,4.944968596,4.940342714,4.928261752,4.681328628
218,6/27/2022,1,350,1 out of 3,Super Area,"Arjun Nagar, Safdarjung Enclave",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,4.176091259,3.84639278,3.875061263,3.822495777,3.90289901,3.927706617,3.927617961,3.919761229,3.923152353,3.862905292,3.917564443,3.780467441
219,5/13/2022,1,420,1 out of 1,Carpet Area,Mambalam West,Chennai,Unfurnished,Bachelors,1,Contact Owner,4.146128036,3.924072835,3.698970004,3.807408258,3.837230822,3.861359709,3.863853909,3.860963419,3.858929381,3.867293748,3.878921322,4.239370084
220,7/8/2022,3,1700,2 out of 2,Super Area,Perumbakkam,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,4.505149978,4.469571592,4.330413773,4.319443944,4.478975301,4.431720372,4.430578279,4.460337046,4.508205298,4.480822155,4.45082655,4.239370084
221,7/9/2022,3,1358,40 out of 50,Carpet Area,"Lodha Kiara, Worli Hill",Mumbai,Semi-Furnished,Family,4,Contact Agent,5.380211242,4.70025745,5.394451681,4.975916397,5.071519181,5.137149118,5.176486119,5.012413205,5.215522804,5.188300047,5.125557938,4.813252508
222,6/30/2022,1,300,Ground out of 1,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,3.77815125,3.750934716,3.812913357,3.731198933,3.728038688,3.752703558,3.775808026,3.742375828,3.873929019,3.759279537,3.741174377,3.810795662
223,5/21/2022,4,2800,2 out of 3,Carpet Area,Safdarjung Enclave,Delhi,Unfurnished,Bachelors/Family,4,Contact Owner,5.397940009,4.599018582,4.330413773,4.472728086,4.877962677,4.851136741,4.769239892,4.857386991,5.047299146,4.895336764,4.868226253,4.654290819
224,7/6/2022,2,1000,Ground out of 1,Carpet Area,"Beeramguda, Ramachandra Puram, NH 9",Hyderabad,Semi-Furnished,Family,2,Contact Owner,4.041392685,4.104475005,4.328379603,4.072658423,4.110817949,4.107781512,4.124620993,4.090597312,4.287782196,4.107096339,4.067315639,4.172316954
225,5/6/2022,3,1480,3 out of 4,Super Area,Perumbakkam,Chennai,Furnished,Bachelors/Family,2,Contact Owner,4.230448921,4.439979473,4.389166084,4.360298161,4.443343514,4.391148238,4.416542195,4.421921339,4.403591548,4.44740329,4.429670931,4.357704764
226,7/9/2022,4,3100,9 out of 22,Super Area,"Dollars Colony-Rmv Extension Stage 2, RMV Extension Stage 2",Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Agent,5.146128036,4.684172288,4.755874856,4.756358977,5.047744601,5.080186312,4.997632889,5.082277275,5.10359895,5.099707619,5.07753668,4.764640749
227,6/29/2022,2,1100,1 out of 3,Super Area,Kyalasanahalli,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,4.146128036,4.161610016,4.336459734,4.156198674,4.147318895,4.145583613,4.138185452,4.140091524,4.216688676,4.167508086,4.138263088,4.172853201
228,5/30/2022,3,1600,2 out of 4,Super Area,Banaswadi,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,4.447158031,4.443847603,4.531478917,4.33360673,4.458002195,4.442012475,4.415594582,4.440082318,4.301100599,4.427873659,4.442830341,4.424342277
229,5/9/2022,1,800,2 out of 3,Super Area,Barrackpore,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3.740362689,3.820416021,4,3.942089953,3.794557402,3.801143353,3.81171376,3.796465607,4.036781136,3.803422552,3.79540813,3.906290258
230,5/26/2022,2,900,1 out of 2,Super Area,Elango Nagar-Virugambakkam,Chennai,Semi-Furnished,Family,2,Contact Owner,4.255272505,4.14811456,4.307496038,4.112778137,4.143719501,4.133588277,4.146194236,4.095185118,4.055874764,4.057218648,4.098765139,4.177825794
231,7/2/2022,4,272,Ground out of 4,Carpet Area,Model Town,Delhi,Furnished,Bachelors,3,Contact Agent,4.77815125,4.385662365,4.276461804,4.373425449,4.561911138,4.628613568,4.517758614,4.656321447,4.700140615,4.638053143,4.647950278,4.458082829
232,5/16/2022,1,100,1 out of 2,Carpet Area,Chikkabanavara,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3.84509804,3.841175292,3.602059991,3.640384184,3.922532585,3.837092951,3.852785902,3.838460948,3.843695426,3.895089891,3.849058926,3.820669241
233,6/25/2022,1,600,Ground out of 4,Super Area,Amberpet,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner,3.77815125,3.913902903,3.954242509,3.89873573,3.859454575,3.847326897,3.894237818,3.866091301,4.006135509,3.865509297,3.861392557,3.872732152
234,5/24/2022,2,500,1 out of 3,Carpet Area,Garia,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3.84509804,3.829436038,3.954242509,3.960887573,3.825899683,3.842680225,3.842899467,3.832518812,3.946761121,3.7589657,3.845050932,3.983141496
235,5/10/2022,2,700,Ground out of 2,Super Area,Dum Dum,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3.812913357,3.931790163,4,3.972348293,3.867845897,3.875694351,3.872302296,3.868958087,4.041401925,3.837803082,3.860091766,3.98674251
236,5/18/2022,2,1000,1 out of 3,Super Area,Lajpat Nagar 1,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,4.505149978,4.22269948,4.322219295,4.1436345,4.206695151,4.21303086,4.209978354,4.201106705,4.49877303,4.1435499,4.19919946,4.154383104
237,6/28/2022,1,620,6 out of 8,Super Area,Virar,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,3.903089987,4.299144958,4.380211242,4.365133996,4.416503027,4.462995551,4.371516192,4.415136979,4.449017787,4.377001348,4.410474357,4.487776879
238,5/23/2022,5,2300,3 out of 5,Carpet Area,Narayanguda,Hyderabad,Unfurnished,Bachelors,3,Contact Owner,4.653212514,4.625001525,5.29666519,4.464230476,4.61873509,4.590218249,4.516298858,4.68174123,4.754894472,4.702135693,4.699411361,4.561554539
239,6/28/2022,2,650,4 out of 4,Carpet Area,Namalagundu,Hyderabad,Unfurnished,Bachelors,2,Contact Owner,4,4.045867829,4.267171728,4.123888404,3.999065258,4.033872719,4.023114357,4.032690426,4.034877147,3.994259417,4.04851742,4.239370084
240,6/4/2022,3,1600,19 out of 25,Super Area,"Chaitanya Towers, Prabhadevi",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,5.397940009,4.678240781,5.29666519,4.920255053,5.049064751,5.236680197,5.186758566,5.060946122,5.113137713,5.07559342,5.051639444,4.905609808
241,7/8/2022,2,1000,1 out of 3,Super Area,"Gouri Shankar Nagar Colony, Banjara Hills",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.079181246,4.114008116,4.294466226,4.1436345,4.110817949,4.091819663,4.124620993,4.122837016,4.132128349,4.136681662,4.102957609,4.187803599
242,5/25/2022,2,1200,2 out of 2,Super Area,"Troop Bazaar, Koti",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,4.041392685,4.076395535,4.322219295,4.166628648,4.114417344,4.092236558,4.116730351,4.100521764,4.079287058,4.084403556,4.106183736,4.239370084
243,7/1/2022,2,900,Ground out of 2,Carpet Area,"Beeramguda, Ramachandra Puram, NH 9",Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner,3.903089987,4.11500188,4.276461804,4.09685104,4.089844843,4.109408677,4.107048472,4.129621263,4.150729084,4.109074325,4.109314156,4.18947185
244,5/24/2022,2,600,Ground out of 4,Super Area,Belgharia,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3.77815125,3.879482674,3.977723605,3.990109193,3.84687279,3.859120499,3.857526233,3.850738413,3.929099386,3.760782816,3.848115317,3.972637251
245,5/7/2022,2,1450,2 out of 6,Super Area,"Somajiguda, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.301029996,4.209721619,4.350248018,4.230697177,4.205196929,4.194936953,4.206448914,4.187960855,4.347107397,4.177166548,4.190970814,4.260063623
246,5/26/2022,2,800,1 out of 4,Carpet Area,Bijoygarh,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3.995635195,4.037182134,4.041392685,4.035996155,3.888819003,3.892393209,3.887230734,3.88717772,4.090210729,3.858851805,3.899150449,4.017625046
247,7/9/2022,3,1224,14 out of 21,Carpet Area,Mumbai Central,Mumbai,Unfurnished,Family,3,Contact Agent,5.113943352,4.670416232,5.187520721,4.872390028,4.931859052,4.945332196,4.979966329,4.919632772,5.174446417,4.948581942,4.905770214,4.75181192
248,6/12/2022,2,1155,3 out of 4,Super Area,K R Puram,Bangalore,Semi-Furnished,Family,2,Contact Owner,4.204119983,4.253137225,4.307496038,4.191708291,4.197200922,4.204665746,4.192692947,4.167932238,4.311274086,4.191065594,4.169066694,4.231614755
249,6/3/2022,2,1000,Ground out of 2,Super Area,Jheel Road,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,4.342422681,4.022714565,4.301029996,4.193195227,4.126039776,4.13004185,4.08460981,4.117890437,4.127456911,4.112537324,4.108961776,4.204434239
250,6/6/2022,3,1400,3 out of 4,Super Area,"Bolarum, Medchal Road",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.146128036,4.320123015,4.401400541,4.270517581,4.288971977,4.250596264,4.29422355,4.276935891,4.354940147,4.303516268,4.28416761,4.325997242
251,6/13/2022,2,1000,Ground out of 2,Carpet Area,Salt Lake City,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,4.243038049,4.056659264,4.322219295,4.279693868,4.207614113,4.191280163,4.176458931,4.189270725,4.318311211,4.174582539,4.188131571,4.379663577
252,4/29/2022,2,710,3 out of 4,Carpet Area,Anushakti Nagar,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,4.602059991,4.6303783,4.939519253,4.436293948,4.491293605,4.421948355,4.44944889,4.481012894,4.697472782,4.490170755,4.481442403,4.488646157
253,5/5/2022,2,1000,3 out of 4,Super Area,Mavalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.230448921,4.198151347,4.29666519,4.172712401,4.164692607,4.162279885,4.164251434,4.172728298,4.189572735,4.175481086,4.175224875,4.206416218
254,6/4/2022,3,1350,1 out of 2,Super Area,Kovilambakkam,Chennai,Unfurnished,Bachelors/Family,3,Contact Owner,4.176091259,4.311816407,4.330413773,4.273128286,4.36722261,4.337196108,4.315857361,4.32884737,4.395095398,4.343574938,4.335491932,4.366515706
255,6/21/2022,3,1200,Ground out of 4,Carpet Area,Anna Nagar West Extension,Chennai,Unfurnished,Bachelors,2,Contact Agent,4.505149978,4.320786456,4.315970345,4.395259948,4.427846334,4.404853457,4.414971854,4.416434127,4.370240445,4.394821877,4.423954563,4.446978304
256,6/10/2022,3,1300,2 out of 3,Carpet Area,Rock Town Colony,Hyderabad,Unfurnished,Bachelors,3,Contact Owner,4.146128036,4.417448765,4.986771734,4.295738583,4.302861399,4.320352571,4.262163592,4.30506946,4.275147743,4.323391022,4.320378423,4.385781554
257,5/11/2022,1,500,4 out of 4,Carpet Area,Chirag Nagar,Mumbai,Semi-Furnished,Bachelors,2,Contact Owner,4.505149978,4.270675641,4.826074803,4.306659026,4.391335299,4.365354821,4.346571659,4.410904518,4.471687515,4.484288682,4.416897324,4.239370084
258,6/30/2022,1,379,21 out of 23,Carpet Area,"Hiranandani Regent Hill, Powai",Mumbai,Semi-Furnished,Bachelors,1,Contact Agent,4.72427587,4.428168402,4.414973348,4.441046119,4.458041224,4.511665098,4.386174953,4.54741584,4.404698905,4.566026499,4.533612291,4.523130575
259,6/17/2022,1,700,Ground out of 4,Super Area,Salt Lake City Sector 3,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,4.255272505,3.99662755,3.991226076,4.001511633,3.895649508,3.902122937,3.874846294,3.901110529,3.950904324,3.882395851,3.894833718,3.950937206
260,5/19/2022,2,900,2 out of 3,Super Area,T Dasarahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.041392685,4.146166549,4.303196057,4.140363516,4.143719501,4.14535673,4.146194236,4.150423855,4.138027117,4.153651826,4.152985943,4.185540542
261,6/20/2022,1,840,8 out of 17,Carpet Area,"Celestia Spaces, Balkrishna Dadu Karade Chowk",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,4.875055473,4.436289863,4.943494516,4.606632379,4.589589774,4.739055627,4.545463641,4.578736234,4.840733757,4.576521789,4.590153169,4.678786657
262,5/23/2022,2,1200,1 out of 4,Super Area,Kengeri,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.204119983,4.241813954,4.380211242,4.180819669,4.20663882,4.196415501,4.201055918,4.200997964,4.167699153,4.209618851,4.200154711,4.217876396
263,7/2/2022,2,850,Lower Basement out of 2,Carpet Area,Sun City Layout,Bangalore,Semi-Furnished,Family,2,Contact Owner,4.113943352,4.174907525,4.214843848,4.057461993,4.133232947,4.152896914,4.137249404,4.1218541,4.167212783,4.108326022,4.083632752,4.090640227
264,5/5/2022,2,750,4 out of 6,Super Area,Mehrauli,Delhi,Furnished,Bachelors/Family,2,Contact Owner,4.146128036,4.286574972,4.195899652,4.236865956,4.276327597,4.314464437,4.264189436,4.295558172,4.154303775,4.296996068,4.298609358,4.191491249
265,5/6/2022,2,950,1 out of 2,Carpet Area,Madipakkam,Chennai,Unfurnished,Family,2,Contact Owner,4.230448921,4.077284702,4.264817823,4.119905497,4.115859236,4.108318187,4.111660875,4.062404921,4.549010047,4.101810631,4.074989675,4.153162527
266,5/5/2022,5,3300,Ground out of 2,Super Area,"Valasaravakkam, Arcot Road",Chennai,Semi-Furnished,Bachelors/Family,5,Contact Owner,4.698970004,4.494550912,4.330413773,4.509706072,4.944614231,4.952132118,4.86764512,5.051059102,5.036902239,5.063113227,5.046293276,4.772534207
267,5/24/2022,2,1200,Ground out of 1,Super Area,"Moulivakkam, Moulivakkam",Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,3.977723605,4.156819449,4.318063335,4.096692787,4.20663882,4.168685199,4.201055918,4.182083726,4.045409386,4.097444099,4.172050489,4.207096759
268,7/6/2022,2,750,2 out of 8,Super Area,Andheri East,Mumbai,Furnished,Bachelors,2,Contact Owner,4.653212514,4.708203535,4.472756449,4.548128698,4.621748061,4.666996599,4.582311859,4.649886413,4.747559785,4.666348383,4.630362655,4.592979845
269,5/5/2022,3,110,1 out of 5,Super Area,Tri Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,4.255272505,4.338652278,4.093421685,3.9299303,4.220760396,4.182934637,4.13956492,4.133748788,4.227641657,4.133929094,4.143964552,4.067605345
270,5/27/2022,2,650,15 out of 24,Carpet Area,"L&T Emerald Isle, Powai",Mumbai,Semi-Furnished,Family,2,Contact Agent,4.763427994,4.536353039,4.440909082,4.688066543,4.682349291,4.584325835,4.687284413,4.677956483,4.742801571,4.685737577,4.688340579,4.576712962
271,5/28/2022,3,1120,8 out of 45,Carpet Area,"DB Woods, Gokuldham",Mumbai,Furnished,Family,2,Contact Agent,4.954242509,4.66361154,5.574031268,4.915988724,4.958902887,4.945491539,5.06139903,4.915648251,4.907713237,4.929863418,5.005806518,4.772897431
272,7/7/2022,2,640,21 out of 21,Carpet Area,Mahajan Wadi,Mumbai,Semi-Furnished,Family,2,Contact Agent,4.342422681,4.473454817,4.826074803,4.690631796,4.68025198,4.643743424,4.684678975,4.721592663,4.619306441,4.686127517,4.685841577,4.239370084
273,6/18/2022,2,1800,Ground out of 2,Super Area,"Karkardooma, Anand Vihar",Delhi,Semi-Furnished,Bachelors,2,Contact Agent,4.477121255,4.38950241,4.322219295,4.357178282,4.578119553,4.564699538,4.587516931,4.57019734,4.584382681,4.539729193,4.5507772,4.479260991
274,6/25/2022,2,760,1 out of 2,Super Area,Ali Bagh Kala pather,Hyderabad,Unfurnished,Family,2,Contact Owner,3.763427994,4.041788787,4.414973348,4.090489812,4.022135676,4.033630348,4.041359497,3.983234027,4.065803304,3.987574603,3.984534702,4.115635919
275,5/5/2022,2,1280,Ground out of 5,Carpet Area,"Ittamadu, Banashankari, Outer Ring Road",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,4.176091259,4.146463694,4.439332694,4.193623407,4.185070487,4.202304977,4.170670091,4.173683702,4.25947284,4.185790237,4.179323343,4.189338815
276,6/15/2022,3,1600,17 out of 60,Carpet Area,"Island City Centre, Dadar TT Circle",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,5.255272505,4.679810739,5.437750563,4.991093089,5.122274098,5.230991359,5.261153439,5.120100635,5.301162073,5.170896398,5.219528141,4.905609808
277,5/14/2022,3,1500,4 out of 5,Super Area,Hyderguda,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent,4.255272505,4.345628338,4.934498451,4.515868597,4.548447162,4.525218053,4.528483583,4.524597694,4.536024516,4.530887619,4.527135158,4.547579334
278,4/30/2022,2,900,2 out of 2,Carpet Area,Thirumangalam-Anna Nagar West,Chennai,Semi-Furnished,Bachelors,2,Contact Owner,4.204119983,4.144737753,4.396199347,4.128705234,4.143719501,4.152138597,4.146194236,4.164542446,4.150729084,4.155807008,4.176490604,4.239370084
279,6/20/2022,3,2000,7 out of 10,Super Area,"Ashoka Enclave Apartment, Dwarka Sector 11",Delhi,Semi-Furnished,Family,2,Contact Owner,4.477121255,4.499117855,4.62324929,4.366284429,4.549034636,4.552024632,4.548305667,4.511462252,4.913486508,4.498755004,4.511989585,4.390502905
280,5/28/2022,1,450,Ground out of 4,Carpet Area,Banjara Layout,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3.84509804,3.928837068,3.929418926,3.860812316,3.881869573,3.893179479,3.905001339,3.902229667,4.00562846,3.912715068,3.906169762,3.8428671
281,5/6/2022,1,1800,Ground out of 2,Super Area,Baranagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3.740362689,3.998696163,4.176091259,4.005477576,4.004288468,3.973121555,3.949197038,3.974577223,4.076176448,3.999327328,3.955333163,4.012184098
282,7/6/2022,2,1100,17 out of 20,Carpet Area,Old Mahabalipuram Road,Chennai,Semi-Furnished,Family,2,Contact Agent,4.146128036,4.269792205,4.380211242,4.445838663,4.350958445,4.395501726,4.339105764,4.375166954,4.389012908,4.38838591,4.356705694,4.41440904
283,7/8/2022,1,550,1 out of 2,Super Area,Pammal,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,3.954242509,3.870153819,3.740362689,3.865110969,3.864495861,3.848100728,3.883177201,3.880594447,3.903971182,3.893069413,3.860536796,3.842796495
284,6/2/2022,4,1300,5 out of 13,Carpet Area,"Kabra Centroid, Kalina",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,5.176091259,4.713789091,5.404833717,4.920845574,5.112426091,5.049381205,5.221553581,5.111221018,5.047177278,5.123478154,5.13406299,4.83815542
285,6/11/2022,2,1250,2 out of 3,Super Area,poush,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,4.041392685,4.114394027,4.434568904,4.18366825,4.124903898,4.100824484,4.125548909,4.10883475,4.204907698,4.083791562,4.110927742,4.213737813
286,5/10/2022,1,500,2 out of 4,Super Area,Rayasandra,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3.698970004,3.977465082,3.954242509,3.890628462,3.892356126,3.901346846,3.912616842,3.91542432,3.954339022,3.888969273,3.914886265,3.899772799
287,5/10/2022,2,800,9 out of 10,Carpet Area,Ashok Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,4.544068044,4.100811794,4.021189299,4.107042606,4.049537047,4.068167788,4.043024248,4.093473692,4.118750842,4.078246826,4.102814187,4.100653876
288,5/5/2022,2,75,2 out of 4,Super Area,Pandav Nagar,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,4.146128036,4.064872674,3.77815125,3.7319159,4.072564934,3.975165952,3.965387896,3.969335756,3.947917581,3.967412445,3.974351269,3.933074086
